Simulation Parameters:,,,,,
Seed:,964069856,,,,
Population Size:,30,,,,
Generations:,10,,,,
Number of Genes:,40,,,,
Mutation Probability:,0.033,,,,
Crossover Probability:,0.6,,,,
Run Number, Generation, Average Fitness, Best Fitness, Number of Correct Bits, Best Genetic String
0,0,0.0731185,0.990854,25,'1111111111000011110011110011010000101011'
0,1,0.306686,0.992128,22,'1111111111001100001110100000110011001100'
0,2,0.53702,0.995707,26,'1111111111100011110011111011010000101010'
0,3,0.65903,0.991847,27,'1111111111001010010111110110011000011111'
0,4,0.772694,0.991847,25,'1111111111001010010111110110100001001011'
0,5,0.745899,0.991847,26,'1111111111001010010111110110100000101111'
0,6,0.755325,0.938612,21,'1111111001100010000111101110000000011011'
0,7,0.700134,0.935401,25,'1111111001001011110011111110100000101011'
0,8,0.622095,0.935401,26,'1111111001001011110011111110100000101111'
0,9,0.730885,0.933758,20,'1111111001000000010111100010011010001011'
,,,,,
Run Number, Generation, Average Fitness, Best Fitness, Number of Correct Bits, Best Genetic String
1,0,0.0540832,0.656163,21,'1111010101110000000010001111000100111111'
1,1,0.238891,0.656581,21,'1111010101110100000010001101000100111111'
1,2,0.267543,0.89901,26,'1111110101001001111111100110011010011110'
1,3,0.604788,0.974798,24,'1111111101011000111011100110001010001110'
1,4,0.683554,0.972703,26,'1111111101001010110111110110001010011110'
1,5,0.807665,0.972572,27,'1111111101001001111111100011011010011110'
1,6,0.803525,0.994008,26,'1111111111011000100111110110001010011110'
1,7,0.818231,0.994008,28,'1111111111011000100111110110001011011111'
1,8,0.776663,0.973153,26,'1111111101001101111001000110011010011111'
1,9,0.846564,0.974752,27,'1111111101011000100111110110001011011111'
,,,,,
Run Number, Generation, Average Fitness, Best Fitness, Number of Correct Bits, Best Genetic String
2,0,0.0808535,0.853925,25,'1111101111111101001111001001100001111000'
2,1,0.325546,0.940045,20,'1111111001101100000011100110100010000011'
2,2,0.607979,0.977654,21,'1111111101101100000011100110100010000011'
2,3,0.706723,0.977654,21,'1111111101101100000011100110100011000010'
2,4,0.614901,0.977948,21,'1111111101101110000001110000011000010101'
2,5,0.841212,0.977679,24,'1111111101101100001110101100101010010101'
2,6,0.778938,0.942804,28,'1111111001111111001001010011111110011011'
2,7,0.857642,0.980055,21,'1111111101111100000110010110100010010000'
2,8,0.788918,0.965764,19,'1111111100011100000110010110100010010000'
2,9,0.816639,0.998961,31,'1111111111111001001011111011111110001111'
,,,,,
Run Number, Generation, Average Fitness, Best Fitness, Number of Correct Bits, Best Genetic String
3,0,0.0966897,0.980088,25,'1111111101111100010100100111000011110011'
3,1,0.415933,0.999515,22,'1111111111111100110100010101000000010001'
3,2,0.612381,0.999519,24,'1111111111111100110110010101001010000010'
3,3,0.527765,0.999591,26,'1111111111111101010100100111000001110011'
3,4,0.818135,0.999935,26,'1111111111111111100100110101000010001110'
3,5,0.871158,0.999935,27,'1111111111111111100100110101000011001110'
3,6,0.86644,0.99994,28,'1111111111111111100110110101000010101110'
3,7,0.755484,0.999939,26,'1111111111111111100110100101000010001110'
3,8,0.896997,0.999954,29,'1111111111111111101100110110101010001110'
3,9,0.961483,0.999957,30,'1111111111111111101101110101101110001010'
,,,,,
Run Number, Generation, Average Fitness, Best Fitness, Number of Correct Bits, Best Genetic String
4,0,0.0591728,0.777284,22,'1111100110100001011100111001011000101011'
4,1,0.270441,0.794783,25,'1111101000101111111000100111011101010011'
4,2,0.510678,0.911209,25,'1111110110100001011100111110010101101011'
4,3,0.671636,0.920231,26,'1111110111100001011100111110010101101011'
4,4,0.766371,0.931396,25,'1111111000101111111000100111011101010001'
4,5,0.733077,0.985667,26,'1111111110100001011100111111010101101010'
4,6,0.715301,0.930967,21,'1111111000101100111000100111010100010001'
4,7,0.599045,0.930949,19,'1111111000101100110000100111010100000010'
4,8,0.76821,0.968231,21,'1111111100101100110000100111010110000010'
4,9,0.764829,0.985957,23,'1111111110100011011000011010010101101010'Simulation Parameters:
Seed:,461850318,,,,
Population Size:,30,,,,
Generations:,10,,,,
Number of Genes:,60,,,,
Mutation Probability:,0.033,,,,
Crossover Probability:,0.6,,,,
Run Number, Generation, Average Fitness, Best Fitness, Number of Correct Bits, Best Genetic String
0,0,0.100131,0.54701,32,'111100010000001100101111010101111100010110011011000010011111'
0,1,0.31741,0.674892,29,'111101100010000100011011101110010001100011011000011001101010'
0,2,0.453216,0.702818,39,'111101110010000100011001101101111111011101111010010111111011'
0,3,0.48521,0.930158,31,'111111100010011100111001101110010000100011001110011001100010'
0,4,0.630268,0.962682,32,'111111110000011100111001111110010000100011001110011001100010'
0,5,0.709272,0.932448,31,'111111100011011100111001101110000000100011001110011011100000'
0,6,0.813964,0.967411,29,'111111110010011100111001101100010000100011000110000011100010'
0,7,0.759202,0.967448,32,'111111110010011101111001101101010000100011000110010011100010'
0,8,0.756449,0.939345,34,'111111100110011100110011101110001001110011001110011011000010'
0,9,0.6741,0.967411,34,'111111110010011100111001101100010100100011100110010011111001'
,,,,,
Run Number, Generation, Average Fitness, Best Fitness, Number of Correct Bits, Best Genetic String
1,0,0.0544751,0.922237,30,'111111011110111110011011010110100000000001000001101011100000'
1,1,0.414027,0.997425,31,'111111111110111100011011010110100100000001000001101011100000'
1,2,0.595895,0.924509,37,'111111011111111110011011010110100001000010110110111011001100'
1,3,0.676443,0.996816,30,'111111111110101100011010010010101100000001000001101011110000'
1,4,0.773009,0.999141,37,'111111111111101001011110010111110110101001000101100011110000'
1,5,0.896158,0.996835,30,'111111111110101100111010010010101100000001000000101010100011'
1,6,0.804284,0.996816,33,'111111111110101100011011010010101100000001000001111011110001'
1,7,0.649461,0.999253,39,'111111111111101100011010010010100101101011111110111011110000'
1,8,0.696115,0.996811,37,'111111111110101100010010010010100101101011111110111010110001'
1,9,0.756224,0.99165,33,'111111111100100100010010000010100101101111111101001011110000'
,,,,,
Run Number, Generation, Average Fitness, Best Fitness, Number of Correct Bits, Best Genetic String
2,0,0.103662,0.906081,31,'111111010111110011010000110001111000001110000000111000100111'
2,1,0.504128,0.906081,32,'111111010111110011010000110100111000000110000000011111101101'
2,2,0.610738,0.906081,30,'111111010111110011010000110001101100001110000000011000100111'
2,3,0.599284,0.906081,37,'111111010111110011010000110001101100010111111100010111101101'
2,4,0.610399,0.960943,33,'111111101111101101101100000111001000110001000011100011101100'
2,5,0.594663,0.960943,34,'111111101111101101101100000111011000111001001010100100101100'
2,6,0.603613,0.960943,37,'111111101111101101101100000001001001010111011100010111101111'
2,7,0.654877,0.960943,33,'111111101111101101101100000001000001110111000001100001101111'
2,8,0.712731,0.999302,38,'111111111111101101101100000111000001010111011100011101001111'
2,9,0.762447,0.999302,39,'111111111111101101101100100111000001010111011100011101001111'
,,,,,
Run Number, Generation, Average Fitness, Best Fitness, Number of Correct Bits, Best Genetic String
3,0,0.140451,0.863224,29,'111111000100001100100100001010010100101100110011111001101100'
3,1,0.45778,0.863225,30,'111111000100001100100110001010010100101100110011111001101100'
3,2,0.67189,0.952658,29,'111111101100001011101101000000100000101010010110101100110100'
3,3,0.581347,0.960173,33,'111111101111011000110000001010010100101100010011111101101100'
3,4,0.699845,0.912373,33,'111111011010100110111101000010001000101100010011111011101100'
3,5,0.505651,0.874423,30,'111111001001011001110001000000100000101110010110111001111100'
3,6,0.446903,0.874423,29,'111111001001011001110001000000001000001110010110111001111100'
3,7,0.609486,0.940393,34,'111111100110111001111000001010011100101100010011111001110100'
3,8,0.676881,0.960215,33,'111111101111011001111001110010011100100111000100000100011100'
3,9,0.551433,0.856046,28,'111111000000110100111101100000100000100110010111010001011100'
,,,,,
Run Number, Generation, Average Fitness, Best Fitness, Number of Correct Bits, Best Genetic String
4,0,0.168847,0.902895,37,'111111010110010111110110011110101010000110111000010010111111'
4,1,0.502186,0.93786,36,'111111100101110011100110111010110100110001001111001110110010'
4,2,0.58444,0.942479,36,'111111100111110011100110111010110100110001001010110111110000'
